#From http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
#12 um Band
#Wav   Trans	Detector	Total
7.0	0.00	0.30		0.000
7.5	0.01	0.35		0.008
8.0	0.60	0.41		0.535
8.5	0.66	0.48		0.689
9.0	0.65	0.52		0.735
9.5	0.67	0.56		0.815
10.0	0.69	0.60		0.900
10.5	0.66	0.63		0.904
11.0	0.59	0.65		0.834
11.5	0.56	0.67		0.816
12.0	0.50	0.73		0.793
12.5	0.51	0.77		0.854
13.0	0.52	0.83		0.938
13.5	0.53	0.86		0.991
14.0	0.50	0.92		1.000
14.5	0.43	1.00		0.934
15.0	0.19	0.94		0.388
15.5	0.00	0.90		0.000
