#From http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
#25 um Band
#Wav   Trans	Detector	Total
16.0	0.01	0.33	0.007
16.5	0.14	0.36	0.101
17.0	0.35	0.41	0.288
17.5	0.42	0.46	0.388
18.0	0.46	0.49	0.452
18.5	0.49	0.53	0.521
19.0	0.50	0.56	0.562
19.5	0.52	0.60	0.626
20.0	0.54	0.63	0.683
20.5	0.55	0.66	0.729
21.0	0.57	0.68	0.778
21.5	0.58	0.715	0.832
22.0	0.59	0.75	0.912
22.5	0.58	0.785	0.914
23.0	0.57	0.82	0.938
23.5	0.56	0.83	0.933
24.0	0.545	0.80	0.875
24.5	0.54	0.84	0.910
25.0	0.53	0.94	1.000
25.5	0.51	0.89	0.911
26.0	0.46	0.91	0.840
26.5	0.38	1.00	0.763
27.0	0.41	0.91	0.749
27.5	0.43	0.96	0.829
28.0	0.46	0.99	0.914
28.5	0.48	0.82	0.790
29.0	0.48	0.19	0.877
29.5	0.51	0.545	0.558
30.0	0.47	0.29	0.274
30.5	0.38	0.09	0.069
31.0	0.31	0.02	0.012
31.5	0.20	0.00	0.000
